timestamp,latitude,longitude,height,velocity,direction,horizontal_accuracy,vertical_accuracy
1.626.98,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
1.632.61,52.38,4.85,-1.30,-1.00,-1.00,65.00,65.00
1.638.62,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.644.62,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.650.62,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
1.656.62,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
1.662.61,52.38,4.85,-1.35,-1.00,-1.00,65.00,65.00
1.668.62,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
1.674.62,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
1.680.62,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
1.686.62,52.38,4.85,-1.34,-1.00,-1.00,65.00,65.00
1.692.61,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
1.698.62,52.38,4.85,-1.51,-1.00,-1.00,65.00,65.00
1.704.62,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
1.710.62,52.38,4.85,-1.34,-1.00,-1.00,65.00,65.00
1.716.61,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
1.722.62,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
1.728.62,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.734.62,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.740.62,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.746.62,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.752.61,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
1.758.62,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
1.764.62,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.770.61,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.776.62,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.782.62,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
1.788.62,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.794.62,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
1.800.62,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
1.806.68,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
1.812.83,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
1.813.35,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.819.84,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
1.820.36,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.826.84,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
1.827.36,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
1.832.84,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
1.838.83,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
1.844.84,52.38,4.85,-1.17,-1.00,-1.00,65.00,65.00
1.850.83,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.856.84,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
1.862.83,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
1.868.83,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.874.83,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
1.880.83,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
1.886.84,52.38,4.85,-1.07,-1.00,-1.00,65.00,65.00
1.892.83,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
1.898.83,52.38,4.85,-1.06,-1.00,-1.00,65.00,65.00
1.904.84,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.910.83,52.38,4.85,-1.10,-1.00,-1.00,65.00,65.00
1.916.83,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.922.84,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
1.928.83,52.38,4.85,-1.06,-1.00,-1.00,65.00,65.00
1.934.63,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
1.940.33,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
1.946.04,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
1.951.95,52.38,4.85,-1.37,-1.00,-1.00,65.00,65.00
1.957.95,52.38,4.85,-1.30,-1.00,-1.00,65.00,65.00
1.963.95,52.38,4.85,-1.34,-1.00,-1.00,65.00,65.00
1.969.96,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
1.971.19,52.38,4.85,2.37,0.55,200.89,41.77,41.77
1.972.28,52.38,4.85,2.37,0.66,203.89,46.12,46.12
1.973.28,52.38,4.85,2.37,0.55,198.16,51.74,51.74
1.974.28,52.38,4.85,2.36,0.51,170.26,58.61,58.61
1.975.28,52.38,4.85,2.36,0.27,170.27,66.66,66.66
1.983.95,52.38,4.85,2.36,-1.00,-1.00,65.00,65.00
1.989.95,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
1.995.95,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
2.001.95,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
2.005.47,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
2.005.47,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
2.006.00,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
2.011.95,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
2.017.95,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
2.023.95,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
2.029.95,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
2.035.95,52.38,4.85,-1.10,-1.00,-1.00,65.00,65.00
2.041.95,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
2.047.94,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
2.053.95,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
2.059.95,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
2.065.95,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
2.071.95,52.38,4.85,-1.33,-1.00,-1.00,65.00,65.00
2.077.95,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
2.083.95,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
2.089.95,52.38,4.85,-1.33,-1.00,-1.00,65.00,65.00
